frame.number,frame.time_epoch,ip.src,ip.dst,ip.hdr_len,tcp.hdr_len,udp.length,frame.protocols,frame.len,frame.cap_len,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.ece,tcp.flags.cwr,http,tls,dns,telnet,smtp,ssh,irc,tcp,udp,dhcp,arp,icmp,igmp,ip,llc
1,1746427609.940305000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52032, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
2,1746427609.940305000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52037, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
3,1746427610.862245000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52055, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
4,1746427611.886704000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52048, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
5,1746427612.295963000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52051, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
6,1746427612.683659000,192.168.1.12,218.248.90.21,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52057, Dst Port: 53, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
7,1746427612.684014000,192.168.1.12,218.248.90.21,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
8,1746427612.691230000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52058, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
9,1746427612.691324000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 1, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
10,1746427612.691525000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,56,56,False,False,False,True,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 1, Ack: 1, Len: 2,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
11,1746427612.691598000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp:dns,86,86,False,False,False,True,True,False,False,False,,,Domain Name System (query),,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 3, Ack: 1, Len: 32,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
12,1746427612.698070000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52058, Seq: 1, Ack: 35, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
13,1746427612.698070000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp:dns,113,113,False,False,False,True,True,False,False,False,,,Domain Name System (response),,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52058, Seq: 1, Ack: 35, Len: 59,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
14,1746427612.698384000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 35, Ack: 60, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
15,1746427612.704840000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52058, Seq: 60, Ack: 36, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
16,1746427612.704840000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52058, Seq: 60, Ack: 36, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
17,1746427612.704946000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52058, Dst Port: 53, Seq: 36, Ack: 61, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
18,1746427613.690933000,192.168.1.12,218.248.90.21,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52057, Dst Port: 53, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
19,1746427613.706677000,192.168.1.12,218.248.90.21,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
20,1746427613.713263000,218.248.90.21,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
21,1746427613.713375000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 1, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
22,1746427613.713810000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,56,56,False,False,False,True,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 1, Ack: 1, Len: 2,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
23,1746427613.713919000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp:dns,86,86,False,False,False,True,True,False,False,False,,,Domain Name System (query),,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 3, Ack: 1, Len: 32,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
24,1746427613.719933000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 1, Ack: 3, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
25,1746427613.719933000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 1, Ack: 35, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
26,1746427613.719933000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp:dns,104,104,False,False,False,True,True,False,False,False,,,Domain Name System (response),,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 1, Ack: 35, Len: 50,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
27,1746427613.720682000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 35, Ack: 51, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
28,1746427613.722392000,192.168.1.12,142.250.199.164,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
29,1746427613.722523000,192.168.1.12,142.250.199.164,20,,1258,eth:ethertype:ip:udp:quic:tls,1292,1292,,,,,,,,,,TLSv1.3 Record Layer: Handshake Protocol: Client Hello,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
30,1746427613.727483000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 51, Ack: 36, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
31,1746427613.727483000,218.248.90.21,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,True,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 53, Dst Port: 52059, Seq: 51, Ack: 36, Len: 0,,,,,,Internet Protocol Version 4, Src: 218.248.90.21, Dst: 192.168.1.12,
32,1746427613.727549000,192.168.1.12,218.248.90.21,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52059, Dst Port: 53, Seq: 36, Ack: 52, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 218.248.90.21,
33,1746427613.766623000,142.250.199.164,192.168.1.12,20,,48,eth:ethertype:ip:udp:quic,82,82,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
34,1746427613.766623000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
35,1746427613.766623000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic:tls,1292,1292,,,,,,,,,,TLSv1.3 Record Layer: Handshake Protocol: Server Hello (fragment),,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
36,1746427613.766623000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic:tls,1292,1292,,,,,,,,,,TLSv1.3 Record Layer: Handshake Protocol: Server Hello,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
37,1746427613.767707000,192.168.1.12,142.250.199.164,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
38,1746427613.768499000,192.168.1.12,142.250.199.164,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,False,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52060, Dst Port: 443, Seq: 0, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
39,1746427613.787825000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
40,1746427613.787825000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
41,1746427613.787825000,142.250.199.164,192.168.1.12,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
42,1746427613.788358000,192.168.1.12,142.250.199.164,20,,47,eth:ethertype:ip:udp:quic,81,81,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
43,1746427613.802159000,192.168.1.12,142.250.199.164,20,,48,eth:ethertype:ip:udp:quic,82,82,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
44,1746427613.808705000,142.250.199.164,192.168.1.12,20,32,,eth:ethertype:ip:tcp,66,66,False,True,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 443, Dst Port: 52060, Seq: 0, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
45,1746427613.808809000,192.168.1.12,142.250.199.164,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 52060, Dst Port: 443, Seq: 1, Ack: 1, Len: 0,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
46,1746427613.809752000,192.168.1.12,142.250.199.164,20,20,,eth:ethertype:ip:tcp:tls,1842,1842,False,False,False,True,True,False,False,False,,tls,,,,,,Transmission Control Protocol, Src Port: 52060, Dst Port: 443, Seq: 1, Ack: 1, Len: 1788,,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
47,1746427613.817287000,192.168.1.12,142.250.199.164,20,,45,eth:ethertype:ip:udp:quic,79,79,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
48,1746427613.848933000,142.250.199.164,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 443, Dst Port: 52060, Seq: 1, Ack: 1413, Len: 0,,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
49,1746427613.848933000,142.250.199.164,192.168.1.12,20,20,,eth:ethertype:ip:tcp,54,54,False,False,False,False,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 443, Dst Port: 52060, Seq: 1, Ack: 1789, Len: 0,,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
50,1746427613.859924000,142.250.199.164,192.168.1.12,20,,855,eth:ethertype:ip:udp:quic,889,889,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 443, Dst Port: 49664,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
51,1746427613.861570000,192.168.1.12,142.250.199.164,20,,179,eth:ethertype:ip:udp:quic,213,213,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
52,1746427613.862082000,192.168.1.12,142.250.199.164,20,,1254,eth:ethertype:ip:udp:quic,1288,1288,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
53,1746427613.862161000,192.168.1.12,142.250.199.164,20,,1258,eth:ethertype:ip:udp:quic,1292,1292,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
54,1746427613.862247000,192.168.1.12,142.250.199.164,20,,501,eth:ethertype:ip:udp:quic,535,535,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
55,1746427613.862303000,192.168.1.12,142.250.199.164,20,,70,eth:ethertype:ip:udp:quic,104,104,,,,,,,,,,,,,,,,,User Datagram Protocol, Src Port: 49664, Dst Port: 443,,,,,Internet Protocol Version 4, Src: 192.168.1.12, Dst: 142.250.199.164,
56,1746427613.877685000,142.250.199.164,192.168.1.12,20,20,,eth:ethertype:ip:tcp:tls,1466,1466,False,False,False,False,True,False,False,False,,tls,,,,,,Transmission Control Protocol, Src Port: 443, Dst Port: 52060, Seq: 1, Ack: 1789, Len: 1412,,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
57,1746427613.877685000,142.250.199.164,192.168.1.12,20,20,,eth:ethertype:ip:tcp,1466,1466,False,False,False,True,True,False,False,False,,,,,,,,Transmission Control Protocol, Src Port: 443, Dst Port: 52060, Seq: 1413, Ack: 1789, Len: 1412,,,,,,Internet Protocol Version 4, Src: 142.250.199.164, Dst: 192.168.1.12,
